de	zh	fr	hi	it	ja	pt	ru	es
tag - day	日复一日	jour - jour	दिन पर दिन	giorno - giorno	毎日毎日	dia - dia	день - день	día - día
meter - meter	米 - 米	mètres - mètres	मीटर - मीटर	metri - metri	メートル - メートル	metros - metros	метры - метры	metros - metros
euro - euro	欧元 - 欧元	euros - euros	यूरो - यूरो	euro - euro	ユーロ - ユーロ	euro - euro	евро - евро	euro - euro
rolle - role	角色-角色	rôle - rôle	भूमिका - भूमिका	ruolo - ruolo	役割 - 役割	papel - papel	роль - роль	rol - rol
sehr - very	非常 - 非常	très - très	बहुत - बहुत	molto - molto	とても - とても	muito - muito	очень - очень	muy - muy
ebenso - likewise	同样地——同样地	de même - de même	इसी तरह - इसी तरह	allo stesso modo - allo stesso modo	同様に - 同様に	da mesma forma - da mesma forma	аналогично - аналогично	igualmente - igualmente
trotz - despite	尽管 - 尽管	malgré - malgré	बावजूद - बावजूद	nonostante - nonostante	にも関わらず - にも関わらず	apesar - apesar	несмотря на - несмотря на	a pesar - a pesar de
kam - came	来了来了	est venu - est venu	आया-आया	è venuto - è venuto	来た - 来た	veio - veio	пришел - пришел	vino - vino
frau - woman, Mrs.	frau——女人，夫人	frau - femme, Mme.	फ्राउ - महिला, श्रीमती	frau - donna, signora.	フラウ - 女性、夫人。	frau - mulher, Sra.	фрау – женщина, госпожа.	frau - mujer, Sra.
wohl - well, probably	可能 - 嗯，可能	probablement - eh bien, probablement	शायद - ठीक है, शायद	probabilmente - beh, probabilmente	おそらく - まあ、おそらく	provavelmente - bem, provavelmente	наверное - ну, наверное	probablemente - bueno, probablemente
aufgrund - due to	由于 - 由于	à cause de - à cause de	के कारण - के कारण	a causa di - a causa di	のせいで - のせいで	devido a - devido a	из-за - из-за	debido a - debido a
außerdem - besides, moreover	此外——此外，此外	en plus - en plus, en plus	इसके अलावा - इसके अलावा, इसके अलावा	inoltre - inoltre, inoltre	それに加えて - さらに、さらに	além disso - além disso, além disso	кроме того - кроме того, к тому же	además - además, además
sonst - otherwise	否则 - 否则	sinon - sinon	अन्यथा - अन्यथा	altrimenti - altrimenti	それ以外の場合 - それ以外の場合	caso contrário - caso contrário	иначе - иначе	de lo contrario - de lo contrario
hätte - would have	会有 - 会有	aurait - aurait	होता - होता	avrebbe - avrebbe	持っているだろう - 持っているだろう	teria - teria	имел бы - имел бы	habría - habría
dar - there (in darstellen)	dar - 那里（代表）	dar - là (dans représenter)	दार - वहाँ (प्रतिनिधित्व में)	dar - lì (in rappresentanza)	ダール - そこに（表現で）	dar - lá (em representar)	дар - там (в представлении)	dar - allí (en representar)
daher - therefore	因此 - 因此	donc - donc	इसलिए - इसलिए	quindi - quindi	したがって - したがって	portanto - portanto	следовательно - поэтому	por lo tanto - por lo tanto
gegründet - founded	成立 成立	fondé - fondé	स्थापित - स्थापित	fondato - fondato	設立 - 設立	fundado - fundado	основал - основал	fundado - fundado
form - form	形式-形式	forme - forme	रूप - रूप	forma - forma	フォーム - フォーム	formulário - formulário	форма - форма	forma - forma
kunst - art	艺术-艺术	art - art	कला - कला	arte - arte	アート - アート	arte - arte	искусство - искусство	arte - arte
gruppe - group	组-组	groupe - groupe	समूह - समूह	gruppo - gruppo	グループ - グループ	grupo - grupo	группа - группа	grupo - grupo
einige - some	一些 - 一些	certains - certains	कुछ कुछ	alcuni - alcuni	いくつか - いくつか	alguns - alguns	некоторые - некоторые	algunos - algunos
haus - house	房子-房子	maison - maison	घर - घर	casa - casa	家 - 家	casa - casa	дом - дом	casa - casa
mann - man	男人 - 男人	homme - homme	आदमी - आदमी	uomo - uomo	男 - 男	homem - homem	мужчина - мужчина	hombre - hombre
herr - Mr., gentleman	Sir - 先生，绅士	monsieur - M., monsieur	साहब - श्रीमान, सज्जन	signore - Signor, gentiluomo	先生、紳士	senhor - Sr., cavalheiro	сэр – господин, джентльмен	señor - señor, caballero
gerade - just, straight	直——公正、直	droit - juste, droit	सीधा - सीधा, सीधा	dritto - semplicemente, dritto	まっすぐ - ただ、まっすぐ	direto - apenas, direto	прямо - просто, прямо	recto - justo, recto
gegenüber - opposite, towards	相反——相反，朝向	opposé - opposé, vers	विपरीत - विपरीत, की ओर	opposto - opposto, verso	反対 - 反対の、向かって	oposto - oposto, em direção	напротив - напротив, навстречу	opuesto - opuesto, hacia
verlor - lost	迷失——迷失	perdu - perdu	खोया हुआ - खोया हुआ	perso - perso	失われた - 失われた	perdido - perdido	потерял - потерял	perdido - perdido
wurde - became	成为 - 成为	est devenu - est devenu	बन गया - बन गया	è diventato - è diventato	なった - なった	tornou-se - tornou-se	стал - стал	se convirtió - se convirtió
sagt - says	说 - 说	dit - dit	कहते हैं - कहते हैं	dice - dice	言う - 言う	diz - diz	говорит - говорит	dice - dice
damals - at that time	然后-那时	alors - à ce moment-là	तब - उस समय	allora - in quel momento	それから - その時	então - naquele momento	тогда - в то время	entonces - en ese momento
nachdem - after	之后-之后	après - après	बाद - बाद	dopo - dopo	後 - 後	depois - depois	после - после	después - después
hinter - behind	后面 - 后面	derrière - derrière	पीछे - पीछे	dietro - dietro	後ろ - 後ろ	atrás - atrás	позади - позади	detrás - detrás
insgesamt - altogether	总体 - 总体	dans l'ensemble - dans l'ensemble	कुल मिलाकर - कुल मिलाकर	nel complesso - nel complesso	全体的に - 全体的に	geral - geral	в целом - в целом	general - general
grund - reason, ground	ground——理由、理由	fondement - raison, fondement	ग्राउंड - कारण, ग्राउंड	grund: ragione, fondamento	grund - 理由、根拠	chão - razão, fundamento	grund – причина, основание	suelo - razón, terreno
insbesondere - especially	特别是——特别是	surtout - surtout	विशेष रूप से - विशेष रूप से	soprattutto - soprattutto	特に - 特に	especialmente - especialmente	особенно - особенно	especialmente - especialmente
darum - therefore	因此 - 因此	donc - donc	इसलिए - इसलिए	quindi - quindi	したがって - したがって	portanto - portanto	следовательно - поэтому	por lo tanto - por lo tanto
folge - consequence, episode	情节 - 结果, 情节	épisode - conséquence, épisode	प्रकरण - परिणाम, प्रकरण	episodio - conseguenza, episodio	エピソード - 結果、エピソード	episódio - consequência, episódio	эпизод - следствие, эпизод	episodio - consecuencia, episodio
zwar - indeed, admittedly	确实——确实，诚然	en effet - en effet, certes	वास्तव में - वास्तव में, स्वीकार किया हुआ	infatti – anzi, è vero	確かに - 確かに、確かに	de fato - de fato, é certo	действительно - действительно, по общему признанию	de hecho - de hecho, es cierto
stehen - to stand	站着——站着	se tenir debout - se tenir debout	खड़ा होना - खड़ा होना	stare in piedi: stare in piedi	立つ - 立つこと	ficar de pé - ficar de pé	стоять - стоять	pararse - pararse
anderen - others	其他 - 其他	d'autres - d'autres	अन्य - अन्य	altri - altri	その他 - その他	outros - outros	другие - другие	otros - otros
neu - new	新 - 新	nouveau - nouveau	नई नई	nuovo - nuovo	新しい - 新しい	novo - novo	новый - новый	nuevo - nuevo
arbeit - work	工作-工作	travail - travail	काम - काम	lavoro - lavoro	仕事 - 仕事	trabalho - trabalho	работа - работа	trabajo - trabajo
vater - father	父亲-父亲	père - père	पिता - पिता	padre - padre	父 - 父	pai - pai	отец - отец	padre - padre
macht - power, makes	使——力量，使	fait - puissance, fait	बनाता है - शक्ति, बनाता है	fa - potere, fa	力を生み出す、力を与える	faz - poder, faz	делает - сила, делает	hace - poder, hace
einmal - once	一次 - 一次	une fois - une fois	एक बार - एक बार	una volta - una volta	一度 - 一度	uma vez - uma vez	один раз - один раз	una vez - una vez
bekannt - known	已知-已知	connu - connu	ज्ञात - ज्ञात	noto - noto	既知 - 既知	conhecido - conhecido	известно - известно	conocido - conocido
